ID,Title,Description,Status,Owner,Priority,Due Date,Dependencies,Resources,Completion Criteria,Created At,Updated At,Completed At,Verifier,Sign-off,Progress %,Blocked,Blocker Details,Escalation To,Notes
1,PDF deliverables order under scope headers (SAM-004),Place deliverables directly under scope headers in PDF renderer,Not Started,Frontend,High,2025-11-24,frontend/components/sow/SOWPdfExport.tsx,Renderer and layout files,Deliverables appear under scope header in all scopes,2025-11-22,,,QA Lead,,0,false,,, 
2,+GST formatting consistency across UI/PDF (SAM-005),Apply unified currency formatter with +GST suffix across totals,Not Started,Frontend,High,2025-11-24,frontend/lib/formatters.ts,SOWPdfExport and UI components,All totals show +GST consistently,2025-11-22,,,QA Lead,,0,false,,, 
3,Discount visibility (original vs discounted) (SAM-006),Render original and discounted amounts in summaries and exports,Not Started,Frontend,Medium,2025-11-25,PDF/HTML renderers,Formatter utilities,Side-by-side values with percentage applied,2025-11-22,,,QA Lead,,0,false,,, 
4,AUD currency consistency across dashboard/admin (SAM-007),Adopt currency formatter in dashboard/admin figures,Not Started,Frontend,Medium,2025-11-25,frontend/components/dashboard/*,formatters.ts,All displays show AUD and +GST as required,2025-11-22,,,QA Lead,,0,false,,, 
5,Mandatory role naming consistency (SAM-010),Align initial UI roles with canonical mandatory roles,Not Started,Frontend,Medium,2025-11-24,editable-pricing-table.tsx,mandatory-roles-enforcer.ts,Names reconciled and enforced,2025-11-22,,,QA Lead,,0,false,,, 
6,Hours rounding policy (SAM-008),Define and enforce round-number hours across roles,Not Started,Frontend,High,2025-11-26,pricingCalculator.ts,TipTap table extension,Hours are whole and policy-compliant,2025-11-22,,,QA Lead,,0,false,,, 
7,Budget allocator integration (SAM-009),Wire allocator end-to-end in editor generation workflow,Not Started,Frontend,High,2025-11-26,pricingCalculator.ts,TipTap insertion logic,Generated tables hit target ex-GST budget,2025-11-22,,,QA Lead,,0,false,,, 
8,Rate limiting in critical API routes (SAM-011),Integrate rate-limit middleware across critical routes,Not Started,Frontend,Medium,2025-11-25,frontend/lib/rate-limit.ts,API route files,Abuse prevented and limits enforced,2025-11-22,,,QA Lead,,0,false,,, 
9,Remove hardcoded secrets; enforce envs (SAM-012),Audit and remove default API keys; enforce config,Not Started,Frontend/DevOps,High,2025-11-24,AnythingLLM proxy routes,.env configuration,No hardcoded secrets in repo,2025-11-22,,,Security Lead,,0,false,,, 
10,Env alignment DB passwords (SAM-013),Align DB password defaults across env and compose,Not Started,DevOps,High,2025-11-24,.env,docker-compose.yml,Single password value across services,2025-11-22,,,DevOps Lead,,0,false,,, 
11,Env alignment CORS dev port (SAM-013),Update CORS origins to match dev port 3333,Not Started,Backend,High,2025-11-24,backend/main.py,CORS settings,Frontend dev requests succeed,2025-11-22,,,Backend Lead,,0,false,,, 
12,Workspace slug consistency (SAM-014),Unify dashboard and embed workspace slugs,Not Started,Frontend,Medium,2025-11-25,workspace-config.ts,Dashboard routes,Single canonical slug used,2025-11-22,,,Product Owner,,0,false,,, 
13,Excel export schema finance alignment (SAM-015),Confirm columns and labels with finance,Not Started,Backend,High,2025-11-25,backend/main.py:841,xlsxwriter,Finance imports cleanly (Role/Hours/Rate/Subtotal/GST/Total),2025-11-22,,,Finance Lead,,0,false,,, 
14,Google Sheets tabular schema (SAM-016),Switch Sheets generator to structured rows/columns,Not Started,Backend,Medium,2025-11-26,google_sheets_generator.py,Google APIs,Finance-ready tabular output,2025-11-22,,,Finance Lead,,0,false,,, 
15,Edge vs Node runtime consistency (SAM-017),Ensure env availability and consistent streaming behavior,Not Started,Frontend,Low,2025-11-29,route configs,Next.js runtime settings,Edge routes stable with envs,2025-11-22,,,QA Lead,,0,false,,, 
16,Multi-scope total toggle parity (SAM-018),Verify UI/PDF parity for grand total toggle,Not Started,Frontend/Backend,Medium,2025-11-25,DocumentStatusBar,PDFRequest.show_pricing_summary,Toggle works consistently,2025-11-22,,,QA Lead,,0,false,,, 
17,TipTap insertion guardrails agentization,Agentize insertion validations for editor-safe content,Not Started,Frontend,High,2025-11-26,useChatManager,TipTap schema,All inserts valid; guardrails centralized,2025-11-22,,,Engineering Lead,,0,false,,, 
18,Connectivity fallback messaging,Add UX for degraded networks during exports,Not Started,Frontend,High,2025-11-25,UI components,fetch wrappers,Clear user messages on retries/failures,2025-11-22,,,Product Owner,,0,false,,, 
19,Retry/backoff for exports,Implement exponential backoff for export calls,Not Started,Frontend,High,2025-11-25,fetch utils,export routes,Successful retries in flaky networks,2025-11-22,,,Engineering Lead,,0,false,,, 
20,Standardize fetch wrappers and timeouts,Create shared fetch utility with sensible defaults,Not Started,Frontend,Medium,2025-11-25,lib/http.ts,API route calls,Uniform timeouts and error handling,2025-11-22,,,Engineering Lead,,0,false,,, 
21,Formatter adoption across app,Replace raw currency usage with formatters,Not Started,Frontend,High,2025-11-24,formatters.ts,UI components,All currency outputs consistent,2025-11-22,,,QA Lead,,0,false,,, 
22,Rate card source-of-truth enforcement,Centralize and validate against canonical rate card,Not Started,Frontend/Finance,High,2025-11-26,rateCard,validators,0 off-card roles in final SOW,2025-11-22,,,Finance Lead,,0,false,,, 
23,Role normalization engine,Implement safe fuzzy matching for roles,Not Started,Frontend,Medium,2025-11-26,normalization utils,rateCard,High-confidence normalization ≥0.95,2025-11-22,,,Engineering Lead,,0,false,,, 
24,Export pre-flight validation,Block invalid exports and list fixes,Not Started,Frontend,High,2025-11-25,export-utils,validators,Exports pass ≥99%,2025-11-22,,,QA Lead,,0,false,,, 
25,Policy docs for roles/currency/GST,Document standards for finance alignment,Not Started,Product/Finance,Medium,2025-11-26,docs repo,style guide,Approved by finance and product,2025-11-22,,,Product Owner,,0,false,,, 
...,(Tasks 26–123 are defined as per docs/action-plan.md sections),,,,,,,,,,,,,,,,
