Requirement ID,Description,Status,Owner,Priority,Due Date,Dependencies,Notes
SAM-001,E2E UI/exports stability tests,Missing,QA/Frontend,High,2025-11-25,"Playwright/Cypress; seeded DB","Unit tests only; add full flows"
SAM-002,Connectivity resilience (retry/backoff, fallbacks),Missing,Frontend/Backend,High,2025-11-25,"Fetch wrappers; error UX","Single-attempt fetch in exports"
SAM-003,Animations/interactions smoothness verification,Missing,QA,Medium,2025-11-29,E2E perf metrics,"DnD/TipTap not validated"
SAM-004,Deliverables under scope header in PDFs,Missing,Frontend,High,2025-11-24,frontend/components/sow/SOWPdfExport.tsx,"Table currently renders before deliverables"
SAM-005,+GST formatting consistent across totals,Missing,Frontend,High,2025-11-24,"frontend/lib/formatters.ts; SOWPdfExport.tsx","Header shows +GST; amounts inconsistent"
SAM-006,Discount visibility (original vs discounted),Missing,Frontend,Medium,2025-11-25,PDF/HTML renderers,"Server validates; display incomplete"
SAM-007,AUD currency consistency across app,Missing,Frontend,Medium,2025-11-25,Formatter adoption,"Dashboard/admin use raw $"
SAM-008,Hours rounding policy (whole/round numbers),Missing,Frontend,High,2025-11-26,frontend/lib/pricingCalculator.ts,"Currently hourGranularity = 0.5"
SAM-009,Budget allocator integration into editor,Missing,Frontend,High,2025-11-26,"TipTap insertion; SAM-008","Logic exists; not wired end-to-end"
SAM-010,Mandatory role naming consistency,Missing,Frontend,Medium,2025-11-24,"editable-pricing-table.tsx; mandatory-roles-enforcer.ts","AM Senior vs initial row"
SAM-011,Rate limiting in critical API routes,Missing,Frontend,Medium,2025-11-25,frontend/lib/rate-limit.ts,"Utility exists; not applied"
SAM-012,Remove hardcoded secrets; enforce envs,Missing,Frontend/DevOps,High,2025-11-24,"Env audit; config fallback removal","Defaults present in AnythingLLM routes"
SAM-013,Env alignment (DB password, CORS dev port),Missing,DevOps/Backend,High,2025-11-24,".env; docker-compose.yml; backend CORS","Passwords differ; CORS allows 3000 while dev 3333"
SAM-014,Workspace slug consistency,Missing,Frontend,Medium,2025-11-25,frontend/lib/workspace-config.ts,"'sow-master-dashboard' vs 'sow-master-dashboard-63003769'"
SAM-015,Excel export schema finance-friendly,Partial,Backend,High,2025-11-25,backend/main.py:841,"Endpoint exists; columns need finance alignment"
SAM-016,Google Sheets tabular schema for finance,Missing,Backend,Medium,2025-11-26,backend/services/google_sheets_generator.py,"Currently writes formatted text"
SAM-017,Edge vs Node runtime/env consistency,Missing,Frontend,Low,2025-11-29,Route runtime config,"Ensure env availability for Edge routes"
SAM-018,Multi-scope grand total toggle parity,Partial,Frontend/Backend,Medium,2025-11-25,"DocumentStatusBar; PDFRequest.show_pricing_summary","Toggle present; verify consistent rendering"
SAM-019,Data persistence via MySQL,Available,Backend,Low,,"DB health route; migrations","SOWs/snapshots backed by DB"
SAM-020,Branded PDF export (logo + font),Available,Backend/Frontend,Low,,WeasyPrint/React-PDF brand assets,"Brand applied across exports"
SAM-021,Mandatory roles enforcement & ordering,Available,Frontend,Medium,,mandatory-roles-enforcer.ts,"Programmatic safeguards; AM at bottom"
SAM-022,Drag-and-drop roles robustness,Available,Frontend,Low,,"@dnd-kit table; TipTap extension","DnD components wired"
SAM-023,OpenRouter commercial API integration,Available,Frontend,Low,,"OPENROUTER_API_KEY env; streaming routes","Verified in APIs and docs"
